(Table with row headers in Col A and column headers in row 5),,,,,,,
Table 3.  World Region and Country or Area of Birth of the Foreign-Born Population: 1960 to 2000,,,,,,,
(Leading dots indicate subparts),,,,,,,
"(See text for sources, definitions, and explanations)",,,,,,,
Region and country or area,2000*,1990*,1980*,1970*,1960*,,
....            Costa Rica.......................................................,"71,870","43,530","29,639","16,691","5,425",,
El Salvador,"817,336","465,433","94,447","15,717","6,310",,
Guatemala,"480,665","225,739","63,073","17,356","5,381",,
Honduras,"282,852","108,923","39,154","19,118","6,503",,
Nicaragua,"220,335","168,659","44,166","16,125","9,474",,
....            Panama.......................................................,"105,177","85,737","60,740","20,046","13,076",,
....            Central America n.e.c........................................................,"7,764","6,000","8,237",(NA),(NA),,
,,,,,,,
..      South America....................................................…,"1,930,271","1,037,497","561,011","255,238","89,536",,
...         Argentina....................................................…,"125,218","92,563","68,887","44,803","16,579",,
...         Bolivia..................................................…………....,"53,278","31,303","14,468","6,872","2,168",,
...         Brazil............................................…………........…,"212,428","82,489","40,919","27,069","13,988",,
...         Chile..........................................…………………........…,"80,804","55,681","35,127","15,393","6,259",,
...         Colombia....................................................…,"509,872","286,124","143,508","63,538","12,582",,
...         Ecuador.................................................…………......,"298,626","143,314","86,128","36,663","7,670",,
...         Guyana....................................................………….,"211,189","120,698","48,608",(NA),(NA),,
...         Paraguay....................................................…………….,"11,980","6,057","2,858",(NA),595,,
...         Peru....................................................………………..,"278,186","144,199","55,496","21,663","7,102",,
...         Suriname....................................................…,"5,579","2,860","1,433",(NA),(NA),,
...         Uruguay....................................................…,"25,038","20,766","13,278","5,092","1,170",,
...         Venezuela....................................................…,"107,031","42,119","33,281","11,348","6,851",,
...         South America n.e.c.....................................................…,"11,042","9,324","17,020","22,797","14,572",,
,,,,,,,
.   Northern America.......................................................,"829,442","753,917","853,427","812,421","952,500",,
..      Canada..................................................……………....,"820,771","744,830","842,859","812,421","952,500",,
..      Other Northern America.......................................................,"8,671","9,087","10,568",(NA),(NA),,
...         Bermuda.......................................................,"8,379","7,972","8,844",(NA),(NA),,
...         Northern America n.e.c........................................................,292,"1,115","1,724",(NA),(NA),,
,,,,,,,
Region or country not reported 1 .......................................................,316,"808,158","887,343","315,721","59,890",,
Footnotes:,,,,,,,
 * Indicates sample data. (NA) Not available. n.e.c. Not elsewhere classified.,,,,,,,
"1 In 2000, for the first time, includes imputed data on country of birth if country of birth was not reported.  Born at sea included with not reported.",,,,,,,
" 2 In 2000, data for Portugal (total) include Madeira Islands.",,,,,,,
" 3 Data for the former Soviet Union include the part in Asia, as shown in this table under Asia.",,,,,,,
" 4 In 1960 and 1970, data for China include Taiwan.  In source for 2000 census data, a total is shown also for China including Hong Kong and ",,,,,,,
"      Taiwan (1,518,652).",,,,,,,
" 5 In 2000, data for Palestine (shown separately in 1990) included in Asia n.e.c.",,,,,,,
" 6 In 1960 and 1970, data shown for Cape Verde are for Other Atlantic Islands.",,,,,,,
 7 Includes Federated States of Micronesia.,,,,,,,
Internet release date: February 2,2006,,,,,,
