No.,Gender,Age,Studies,Studies,Position,Date Hired
189,Male,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
190,Male,42,Technical College,Technical College,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
191,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
192,Male,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
193,Female,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
194,Female,57,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
195,Female,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/1/13
196,Male,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
197,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
198,Male,45,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
199,Male,38,"Bachelor's Degree ""Pasante""",Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
200,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
201,Male,36,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
202,Female,41,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
203,Male,51,None,None,"AGENTE FEDERAL DE MIGRACION ""C""",7/16/13
204,Female,32,Bachelor's Degree,Bachelor's Degree,AGENTE DE PROTECCION AL MIGRANTE,7/16/13
205,Female,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
206,Male,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
207,Male,55,None,None,AGENTE DE PROTECCION AL MIGRANTE,7/16/13
208,Male,46,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
209,Male,33,None,None,"AGENTE FEDERAL DE MIGRACION ""C""",7/16/13
210,Female,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
211,Male,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
212,Female,28,"Bachelor's Degree ""Pasante""",Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
213,Male,36,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
214,Female,36,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",7/16/13
215,Male,50,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
216,Male,46,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
217,Male,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
218,Female,41,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
219,Male,40,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
220,Male,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
221,Female,37,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
222,Female,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
223,Female,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
224,Female,28,"Bachelor's Degree ""Pasante""",Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
225,Female,55,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
226,Male,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
227,Male,48,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
228,Male,38,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
229,Female,27,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
230,Female,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
231,Male,45,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
232,Male,48,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
233,Female,33,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
234,Male,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
