Expediente,Ubicacion ,Fecha de Registro,Fecha de Conclusion,Razon de Conclusion,Hechos Violatorios,Autoridad,Pais,Hechos Violatorios,Agency
[C ]2018/8800,Tamaulipas,,2/26/19,DURANTE EL TRAMITE RESPECTIVO,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8804,Chiapas,,2/25/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8805,Sonora,,5/13/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8806,Sonora,,5/23/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,"Santa Ana, Sonora"
[C ]2018/8812,Tamaulipas,,3/28/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8881,Chihuahua,,,POR NO EXISTIR MATERIA,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2018/8897,Distrito Federal,,3/29/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8901,Tabasco,,2/22/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8903,Chiapas,,6/18/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8908,Chiapas,,6/20/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8909,Chiapas,,6/26/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
